branch_id,branch_name,address,city,state
101,Downtown Branch,123 Main St,New York,NY
102,Westside Branch,456 Oak Rd,Los Angeles,CA
103,Lakeshore Branch,789 Pine Ave,Chicago,IL
104,Midtown Branch,101 Maple Ln,Houston,TX
105,Desert Branch,202 Elm St,Phoenix,AZ
106,Liberty Branch,303 Birch Rd,Philadelphia,PA
107,Riverwalk Branch,404 Cedar St,San Antonio,TX
108,Seaside Branch,505 Walnut Blvd,San Diego,CA
109,Skyline Branch,606 Spruce Dr,Dallas,TX
110,Golden Gate Branch,707 Aspen Way,San Francisco,CA
